uniqueFlowsetId,flowNumber,srcAddr,dstAddr,srcPort,dstPort,forwardingStatus,forwardingStatusCode,nextHop,outputInt,outputDirection,bytes,packets,timeDelta
18,2,10.146.170.36,130.173.33.162,61322,53,null,null,198.208.134.142,15,null,95,1,0.0
18,3,130.173.33.162,10.146.170.36,53,61319,null,null,10.193.197.243,16,null,93,1,0.0
18,4,130.173.33.162,10.146.170.36,53,61322,null,null,10.193.197.243,16,null,149,1,0.0
18,5,10.125.180.190,10.146.172.36,443,33496,null,null,10.193.197.243,16,null,4890,14,0.0
19,1,10.146.165.124,208.67.222.222,60684,53,null,null,198.208.134.53,15,null,160,2,4.0
19,2,10.146.165.168,10.125.115.3,36926,22443,null,null,10.204.14.165,11,null,283939,1485,0.0
19,3,10.146.165.79,10.125.118.53,60156,22443,null,null,10.204.14.165,11,null,360682,1573,0.0
19,4,10.146.162.156,8.8.8.8,0,0,null,null,198.208.31.216,1,null,11832,116,0.0
19,5,10.173.54.9,11.67.68.11,60097,2000,null,null,10.147.95.150,11,null,130,2,0.0
19,6,10.146.162.122,208.67.222.222,52965,53,null,null,10.147.91.149,11,null,160,2,4.0
19,7,10.146.162.143,208.67.222.222,55871,53,null,null,10.147.91.149,11,null,160,2,4.0
19,8,10.146.165.17,10.125.112.182,57564,32111,null,null,198.208.211.69,15,null,122,2,0.0
19,9,10.146.171.64,208.67.222.222,37805,53,null,null,198.208.133.142,15,null,160,2,5.0
19,10,10.146.164.74,10.125.118.230,37241,22443,null,null,10.204.14.165,11,null,13622,114,0.0
19,11,10.146.162.39,208.67.222.222,49271,53,null,null,198.208.133.142,15,null,160,2,5.0
19,12,10.146.162.73,10.47.18.237,56366,53,null,null,10.205.14.164,11,null,85,1,0.0
19,13,10.47.18.237,10.146.161.213,53,39016,null,null,10.193.204.227,18,null,83,1,0.0
20,1,10.146.170.36,117.105.89.22,61324,53,null,null,198.208.133.142,15,null,90,1,0.0
20,2,10.146.170.36,130.173.33.162,61325,53,null,null,198.208.134.142,15,null,90,1,0.0
20,3,10.146.170.36,117.105.89.22,61327,53,null,null,198.208.133.142,15,null,90,1,0.0
20,4,10.146.170.36,130.173.33.162,61328,53,null,null,198.208.134.142,15,null,90,1,0.0
20,5,10.119.157.176,10.146.172.113,32111,35256,null,null,10.193.197.243,16,null,44,1,0.0
20,6,10.146.170.36,130.172.45.36,53,60363,null,null,10.204.14.164,11,null,122,1,0.0
20,7,130.173.33.162,10.146.170.36,53,61325,null,null,10.193.197.243,16,null,88,1,0.0
20,8,130.173.33.162,10.146.170.36,53,61328,null,null,10.193.197.243,16,null,144,1,0.0
20,9,10.146.162.191,10.124.214.137,40452,32111,null,null,198.208.210.69,15,null,122,2,0.0
20,10,10.125.112.182,10.146.165.17,32111,57564,null,null,10.193.197.243,16,null,44,1,0.0
20,11,10.146.165.86,10.47.18.237,47351,53,null,null,198.208.210.69,15,null,85,1,0.0
20,12,10.146.164.97,10.47.18.237,52829,53,null,null,198.208.210.68,15,null,85,1,0.0
20,13,10.47.18.237,10.146.162.73,53,56366,null,null,10.193.204.227,18,null,83,1,0.0
21,1,10.146.170.36,117.105.89.22,61330,53,null,null,198.208.133.142,15,null,90,1,0.0
21,2,10.146.170.36,130.173.33.162,61331,53,null,null,198.208.134.142,15,null,90,1,0.0
